,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
fcenter,39.3725328092148,49.6062828740062,62.5,78.7450656184296,99.2125657480125,125,157.490131236859,198.425131496025,250,314.980262473718,396.85026299205,500,629.960524947437,793.7005259841,1000,1259.92104989487,1587.4010519682,2000,2519.84209978975,3174.8021039364,4000,5039.68419957949,6349.6042078728,8000,10079.368399159,12699.2084157456,16000,20158.736798318,25398.4168314912,32000,40317.4735966359,50796.8336629824
recreational_q95_octave,152.907973023409,153.869265760138,148.944914675768,144.364987772341,145.423490752054,146.967730375427,145.396528086531,146.890792601643,143.300375426621,142.361028458591,142.919682959343,138.752832764505,136.373023120894,134.880317040657,136.040187713311,134.612931765745,132.52,131.86,130.968282943047,131.053148713998,127.753395904437,127.911717056953,125.48,123.5,121.276565886094,118.073488346368,118.293208191126,115.233361029002,36.7988756197505,0,0,0
